ram,ssd,weight,screen,price
32,128,2.0,15.6,1710
4,512,2.4,16.0,1305
4,256,1.6,13.3,790
12,128,2.3,12.5,890
16,128,1.6,13.4,920
16,256,2.1,15.6,1125
64,128,2.5,15.6,2275
64,2048,2.9,10.1,2735
32,512,2.2,13.3,1705
16,256,2.1,10.1,945
16,1024,2.2,12.1,1505
8,512,2.0,16.0,1240
16,128,2.2,10.1,845
64,2048,2.6,11.6,3425
4,512,2.2,12.1,905
16,2048,2.5,12.5,1905
32,256,2.2,15.6,1755
4,256,1.5,11.6,790
4,256,2.1,12.1,685
16,512,2.0,12.5,1130
32,256,2.4,15.6,1445
64,1024,2.7,12.5,2665
12,1024,2.5,15.6,1750
12,1024,2.1,13.4,1715
12,256,2.2,13.4,845
8,1024,1.9,12.1,1270
8,128,1.5,11.6,715
4,128,1.7,15.6,735
64,128,2.1,13.3,2070
8,128,2.3,15.6,775
32,128,2.3,11.6,1290
8,512,1.9,16.0,1180
64,1024,2.9,14.0,2655
16,256,2.2,17.3,1185
64,64,2.1,11.6,1850
64,64,2.0,12.1,2040
32,1024,2.7,13.3,2025
12,128,2.1,12.5,840
16,1024,2.4,12.5,1600
32,512,2.4,10.1,1425
32,1024,2.3,13.3,2290
12,64,1.9,15.6,875
32,1024,2.3,13.4,2150
32,64,2.4,14.0,1595
12,256,1.8,16.0,1250
8,64,1.5,12.5,835
32,128,2.4,14.0,1510
8,2048,2.4,12.1,2060
16,1024,2.5,13.3,1590
4,1024,2.0,13.4,1360
8,256,1.9,13.3,805
8,2048,1.8,10.1,1885
64,512,2.3,10.1,2165
4,2048,2.1,17.3,2455
12,128,2.2,13.3,890
12,1024,2.3,13.4,1460
32,2048,2.6,16.0,3210
8,1024,2.2,10.1,1450
4,128,1.5,14.0,745
8,128,2.2,12.5,695
12,64,2.1,12.1,725
4,512,2.1,15.6,965
16,512,2.3,13.4,1250
4,1024,1.6,10.1,1435
12,128,1.7,11.6,785
64,64,2.0,10.1,1745
8,1024,2.3,13.4,1305
16,2048,1.9,12.5,2270
4,2048,2.1,15.6,2065
12,512,2.0,17.3,1225
8,128,2.2,12.5,825
32,256,2.3,13.4,1715
64,512,2.6,14.0,2330
16,1024,2.6,17.3,1875
16,1024,2.4,13.3,1450
16,512,2.4,13.4,1105
32,128,1.8,13.3,1510
32,256,2.4,16.0,1925
32,2048,2.9,17.3,2590
8,1024,2.1,12.5,1400
64,64,2.2,12.1,2025
4,512,2.3,16.0,1080
4,256,1.4,12.1,695
8,1024,1.6,11.6,1365
16,256,2.5,15.6,930
4,2048,2.3,10.1,1800
4,512,1.9,12.1,855
12,1024,2.2,13.4,1480
8,512,2.2,10.1,975
64,1024,2.6,15.6,2565
8,512,1.7,12.5,860
8,1024,2.1,12.5,1605
8,64,2.1,13.3,820
64,512,2.3,15.6,2270
64,64,2.4,11.6,1860
8,64,2.0,14.0,800
64,512,2.5,14.0,2280
16,256,2.0,13.3,970
32,2048,2.1,12.1,2665
64,64,2.7,14.0,2050
